"Id","HHDeviceID","UserID","ShiftID","Latitude","Longitude","Speed","EntryTime","Accuracy","InsertedDateTime"
"18381067","498","1572","17245","24.8156959","46.635976","5.4555892944336","2016-11-15 11:17:56.000","8","2016-11-15 11:18:20.907"
"18381066","498","1572","17245","24.8156565","46.6358917","4.3506813049316","2016-11-15 11:17:54.000","8","2016-11-15 11:18:20.907"
"18381065","498","1572","17245","24.8155916","46.6358656","2.4288859367371","2016-11-15 11:17:51.000","8","2016-11-15 11:18:20.907"
"18381062","498","1572","17245","24.8155671","46.6359092","0","2016-11-15 11:17:49.000","8","2016-11-15 11:17:52.190"
"18381061","498","1572","17245","24.8155163","46.6359254","2.9832320213318","2016-11-15 11:17:46.000","8","2016-11-15 11:17:52.190"
"18381060","498","1572","17245","24.8154856","46.6358748","4.0355267524719","2016-11-15 11:17:44.000","8","2016-11-15 11:17:52.190"
"18381059","498","1572","17245","24.8154569","46.6357893","4.7294516563416","2016-11-15 11:17:42.000","12","2016-11-15 11:17:52.190"
"18381058","498","1572","17245","24.8153899","46.635665","3.9898631572723","2016-11-15 11:17:39.000","12","2016-11-15 11:17:52.190"
"18381057","498","1572","17245","24.8153596","46.6356093","3.3727235794067","2016-11-15 11:17:37.000","8","2016-11-15 11:17:52.190"
"18381051","498","1572","17245","24.8153275","46.6355579","2.1841824054718","2016-11-15 11:16:43.000","12","2016-11-15 11:16:54.293"
"18381050","498","1572","17245","24.8153507","46.6356306","3.4495856761932","2016-11-15 11:16:40.000","8","2016-11-15 11:16:54.293"
"18381049","498","1572","17245","24.8153915","46.6357018","4.7387986183167","2016-11-15 11:16:38.000","8","2016-11-15 11:16:54.293"
"18381048","498","1572","17245","24.8154564","46.6358526","3.6059091091156","2016-11-15 11:16:35.000","12","2016-11-15 11:16:54.293"
"18381047","498","1572","17245","24.815474","46.6359349","2.6591367721558","2016-11-15 11:16:33.000","16","2016-11-15 11:16:54.293"
"18381046","498","1572","17245","24.8155251","46.635963","3.9637513160706","2016-11-15 11:16:29.000","12","2016-11-15 11:16:54.293"
"18381045","498","1572","17245","24.8155621","46.6358556","2.9955372810364","2016-11-15 11:16:26.000","12","2016-11-15 11:16:54.293"
"18381044","498","1572","17245","24.8155429","46.6357465","6.5805897712708","2016-11-15 11:16:23.000","16","2016-11-15 11:16:54.293"
"18381043","498","1572","17245","24.8154814","46.6355975","10.062561035156","2016-11-15 11:16:21.000","16","2016-11-15 11:16:54.293"
"18381031","498","1572","17245","24.8153671","46.6352884","11.663454055786","2016-11-15 11:16:18.000","12","2016-11-15 11:16:20.940"
"18381030","498","1572","17245","24.8152872","46.6350778","11.316841125488","2016-11-15 11:16:16.000","12","2016-11-15 11:16:20.940"
"18381029","498","1572","17245","24.8151737","46.6347771","11.426536560059","2016-11-15 11:16:13.000","8","2016-11-15 11:16:20.940"
"18381028","498","1572","17245","24.815092","46.6345502","12.541003227234","2016-11-15 11:16:11.000","12","2016-11-15 11:16:20.940"
"18381027","498","1572","17245","24.8150116","46.6343107","13.604778289795","2016-11-15 11:16:09.000","8","2016-11-15 11:16:20.940"
"18381026","498","1572","17245","24.8148677","46.6339189","15.360290527344","2016-11-15 11:16:06.000","12","2016-11-15 11:16:20.940"
"18381025","498","1572","17245","24.814767","46.6336264","15.72359752655","2016-11-15 11:16:04.000","12","2016-11-15 11:16:20.940"
"18381024","498","1572","17245","24.8145994","46.6331851","15.335624694824","2016-11-15 11:16:01.000","16","2016-11-15 11:16:20.940"
"18381023","498","1572","17245","24.8144517","46.6327983","14.133379936218","2016-11-15 11:15:58.000","12","2016-11-15 11:16:20.940"
"18381022","498","1572","17245","24.8143625","46.6325613","11.230561256409","2016-11-15 11:15:56.000","12","2016-11-15 11:16:20.940"
"18381021","498","1572","17245","24.8142671","46.6323017","7.6044192314148","2016-11-15 11:15:53.000","8","2016-11-15 11:16:20.940"
"18381020","498","1572","17245","24.8142267","46.6321974","4.4249663352966","2016-11-15 11:15:51.000","8","2016-11-15 11:16:20.940"
"18381003","498","1572","17245","24.8142418","46.6321281","4.2599749565125","2016-11-15 11:15:49.000","12","2016-11-15 11:15:50.507"
"18381002","498","1572","17245","24.8143514","46.6321093","3.7852592468262","2016-11-15 11:15:46.000","12","2016-11-15 11:15:50.507"
"18381001","498","1572","17245","24.8144287","46.6322425","8.092173576355","2016-11-15 11:15:43.000","8","2016-11-15 11:15:50.507"
"18381000","498","1572","17245","24.8145077","46.6324127","11.294544219971","2016-11-15 11:15:41.000","12","2016-11-15 11:15:50.507"
"18380999","498","1572","17245","24.8146664","46.6327611","15.250820159912","2016-11-15 11:15:38.000","8","2016-11-15 11:15:50.507"
